epoch,categorical_accuracy,loss,lr,val_1-shot_1-way_acc,val_loss
47,0.18750000000000003,2.7903276908905585,0.0001,1.0,1.0000000100247605e-08
48,0.19059999999999996,2.7815351972571567,0.0001,1.0,1.0000000100247605e-08
49,0.18810000000000004,2.7803872658718594,0.0001,1.0,1.0000000100247605e-08
50,0.1877000000000001,2.7719336995343666,0.0001,1.0,1.0000000100247605e-08
51,0.19140000000000013,2.771815388529857,0.0001,1.0,1.0000000100247605e-08
52,0.19340000000000004,2.7688806659272496,0.0001,1.0,1.0000000100247605e-08
53,0.19240000000000002,2.7722539795961483,0.0001,1.0,1.0000000100247605e-08
54,0.19329999999999992,2.7606626056688817,0.0001,1.0,1.0000000100247605e-08
55,0.19510000000000005,2.758981284626772,0.0001,1.0,1.0000000100247605e-08
56,0.19030000000000002,2.7521368101594237,0.0001,1.0,1.0000000100247605e-08
57,0.18689999999999998,2.7606363807428913,0.0001,1.0,1.0000000100247605e-08
58,0.20020000000000013,2.741796793003507,0.0001,1.0,1.0000000100247605e-08
59,0.20520000000000013,2.737517190998571,0.0001,1.0,1.0000000100247605e-08
60,0.2053000000000001,2.7303929636978137,0.0001,1.0,1.0000000100247605e-08
61,0.20460000000000003,2.7235715234246727,0.0001,1.0,1.0000000100247605e-08
62,0.20570000000000005,2.73446457917256,0.0001,1.0,1.0000000100247605e-08
63,0.2099000000000001,2.706501248103118,0.0001,1.0,1.0000000100247605e-08
64,0.20240000000000016,2.7284944667374473,0.0001,1.0,1.0000000100247605e-08
65,0.20810000000000003,2.732871592980535,0.0001,1.0,1.0000000100247605e-08
66,0.2034,2.7118884128631793,0.0001,1.0,1.0000000100247605e-08
67,0.2081000000000001,2.7273448368649973,0.0001,1.0,1.0000000100247605e-08
68,0.19780000000000006,2.727815623289981,0.0001,1.0,1.0000000100247605e-08
69,0.21160000000000007,2.694452387696467,0.0001,1.0,1.0000000100247605e-08
70,0.19720000000000007,2.7206241823881494,0.0001,1.0,1.0000000100247605e-08
71,0.2033,2.7098626599896183,0.0001,1.0,1.0000000100247605e-08
72,0.21130000000000013,2.6950839402755316,0.0001,1.0,1.0000000100247605e-08
73,0.21100000000000008,2.6940186743405246,0.0001,1.0,1.0000000100247605e-08
74,0.20639999999999997,2.701384741117022,0.0001,1.0,1.0000000100247605e-08
75,0.20149999999999998,2.7022486308376923,0.0001,1.0,1.0000000100247605e-08
76,0.2158,2.674102360416021,0.0001,1.0,1.0000000100247605e-08
77,0.21389999999999998,2.692315820265215,0.0001,1.0,1.0000000100247605e-08
78,0.21420000000000003,2.6685720949911764,0.0001,1.0,1.0000000100247605e-08
79,0.20890000000000009,2.683077119495367,0.0001,1.0,1.0000000100247605e-08
80,0.21930000000000002,2.671745443944256,0.0001,1.0,1.0000000100247605e-08
81,0.20850000000000005,2.6774962925593933,0.0001,1.0,1.0000000100247605e-08
82,0.21420000000000017,2.6562998838333414,0.0001,1.0,1.0000000100247605e-08
83,0.22900000000000006,2.6392753690870254,0.0001,1.0,1.0000000100247605e-08
84,0.21210000000000004,2.693595362966235,0.0001,1.0,1.0000000100247605e-08
85,0.22130000000000014,2.6509865907717733,0.0001,1.0,1.0000000100247605e-08
86,0.22269999999999995,2.659328223319467,0.0001,1.0,1.0000000100247605e-08
87,0.21990000000000007,2.661758994505405,0.0001,1.0,1.0000000100247605e-08
88,0.222,2.6680657771792733,0.0001,1.0,1.0000000100247605e-08
89,0.21900000000000017,2.665231885461213,0.0001,1.0,1.0000000100247605e-08
90,0.21570000000000014,2.6666394994182925,0.0001,1.0,1.0000000100247605e-08
91,0.2145,2.6705091525290445,0.0001,1.0,1.0000000100247605e-08
92,0.2162000000000001,2.6544511635689245,0.0001,1.0,1.0000000100247605e-08
93,0.21440000000000003,2.6592039436721278,0.0001,1.0,1.0000000100247605e-08
94,0.23170000000000004,2.6258798577956752,0.0001,1.0,1.0000000100247605e-08
95,0.23560000000000006,2.6199202759894105,0.0001,1.0,1.0000000100247605e-08
96,0.22690000000000005,2.633383397530036,0.0001,1.0,1.0000000100247605e-08
97,0.21810000000000002,2.655091828996584,0.0001,1.0,1.0000000100247605e-08
98,0.22759999999999997,2.6362822987759063,0.0001,1.0,1.0000000100247605e-08
99,0.22499999999999992,2.644920077180952,0.0001,1.0,1.0000000100247605e-08
100,0.21950000000000006,2.636369483240734,0.0001,1.0,1.0000000100247605e-08
